,id,round_number,owner,name,timestamp,body,balance,tick_number,n_transactions,participant_code,session_code,treatment,player.intermediary_payoff
3123,3981,4,Player object (1180),sell,2023-03-09 20:10:14.727728+00:00,"{""priceA"": 70, ""sharesA"": 0, ""secs_since_round_starts"": 42, ""market"": ""A""}",120.0,8.0,1.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3124,3982,4,Player object (1180),buy,2023-03-09 20:10:46.350658+00:00,"{""priceA"": 95, ""sharesA"": 1, ""secs_since_round_starts"": 74, ""market"": ""A""}",25.0,14.0,2.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3125,3983,4,Player object (1179),sell,2023-03-09 20:11:04.780914+00:00,"{""priceA"": 80, ""sharesA"": 0, ""secs_since_round_starts"": 158, ""market"": ""A""}",115.0,27.0,3.0,qzgbjdzz,vmu7c279,FULL STUDY,130.0
3126,3984,4,Player object (1179),PREDICTIONS_SENT,2023-03-09 20:11:28.078230+00:00,"{""priceA"": 80, ""sharesA"": 0, ""secs_since_round_starts"": 181, ""action"": ""predictions_send"", ""stockUpA"": 2, ""confidenceA"": 4}",115.0,30.0,3.0,qzgbjdzz,vmu7c279,FULL STUDY,130.0
3127,3985,4,Player object (1179),buy,2023-03-09 20:12:02.165492+00:00,"{""priceA"": 65, ""sharesA"": 1, ""secs_since_round_starts"": 215, ""market"": ""A""}",50.0,37.0,4.0,qzgbjdzz,vmu7c279,FULL STUDY,130.0
3128,3986,4,Player object (1180),sell,2023-03-09 20:12:03.118952+00:00,"{""priceA"": 90, ""sharesA"": 0, ""secs_since_round_starts"": 151, ""market"": ""A""}",115.0,28.0,3.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3129,3987,4,Player object (1179),sell,2023-03-09 20:12:08.167769+00:00,"{""priceA"": 80, ""sharesA"": 0, ""secs_since_round_starts"": 221, ""market"": ""A""}",130.0,38.0,5.0,qzgbjdzz,vmu7c279,FULL STUDY,130.0
3130,3988,4,Player object (1180),PREDICTIONS_SENT,2023-03-09 20:12:17.214025+00:00,"{""priceA"": 80, ""sharesA"": 0, ""secs_since_round_starts"": 165, ""action"": ""predictions_send"", ""stockUpA"": 2, ""confidenceA"": 4}",115.0,30.0,3.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3131,3989,4,Player object (1180),buy,2023-03-09 20:12:42.741633+00:00,"{""priceA"": 85, ""sharesA"": 1, ""secs_since_round_starts"": 190, ""market"": ""A""}",30.0,35.0,4.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3132,3990,4,Player object (1180),sell,2023-03-09 20:12:45.899282+00:00,"{""priceA"": 70, ""sharesA"": 0, ""secs_since_round_starts"": 194, ""market"": ""A""}",100.0,36.0,5.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3133,3991,4,Player object (1180),buy,2023-03-09 20:12:57.914934+00:00,"{""priceA"": 80, ""sharesA"": 1, ""secs_since_round_starts"": 206, ""market"": ""A""}",20.0,38.0,6.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3134,3992,4,Player object (1180),sell,2023-03-09 20:13:08.094686+00:00,"{""priceA"": 80, ""sharesA"": 0, ""secs_since_round_starts"": 216, ""market"": ""A""}",100.0,40.0,7.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3135,3993,4,Player object (1180),buy,2023-03-09 20:13:09.619383+00:00,"{""priceA"": 80, ""sharesA"": 1, ""secs_since_round_starts"": 217, ""market"": ""A""}",20.0,40.0,7.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3136,3994,4,Player object (1180),sell,2023-03-09 20:13:13.429362+00:00,"{""priceA"": 95, ""sharesA"": 0, ""secs_since_round_starts"": 221, ""market"": ""A""}",115.0,41.0,8.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3137,3995,4,Player object (1179),buy,2023-03-09 20:13:24.114286+00:00,"{""priceA"": 75, ""sharesA"": 1, ""secs_since_round_starts"": 297, ""market"": ""A""}",55.0,52.0,6.0,qzgbjdzz,vmu7c279,FULL STUDY,130.0
3138,3996,4,Player object (1179),GAME_ENDS,2023-03-09 20:14:07.185183+00:00,"{""priceA"": 75, ""sharesA"": 1, ""secs_since_round_starts"": 340}",55.0,60.0,6.0,qzgbjdzz,vmu7c279,FULL STUDY,130.0
3139,3998,4,Player object (1180),buy,2023-03-09 20:14:14.268479+00:00,"{""priceA"": 75, ""sharesA"": 1, ""secs_since_round_starts"": 282, ""market"": ""A""}",40.0,52.0,9.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3140,4000,4,Player object (1180),sell,2023-03-09 20:14:22.869438+00:00,"{""priceA"": 85, ""sharesA"": 0, ""secs_since_round_starts"": 291, ""market"": ""A""}",125.0,53.0,10.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3141,4001,4,Player object (1180),buy,2023-03-09 20:14:35.877305+00:00,"{""priceA"": 55, ""sharesA"": 1, ""secs_since_round_starts"": 304, ""market"": ""A""}",70.0,56.0,11.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3142,4004,4,Player object (1180),sell,2023-03-09 20:14:52.171194+00:00,"{""priceA"": 75, ""sharesA"": 0, ""secs_since_round_starts"": 320, ""market"": ""A""}",145.0,59.0,12.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3143,4005,4,Player object (1180),GAME_ENDS,2023-03-09 20:14:56.332717+00:00,"{""priceA"": 75, ""sharesA"": 0, ""secs_since_round_starts"": 324}",145.0,60.0,12.0,lw8audd5,vmu7c279,FULL STUDY,145.0
3144,4058,4,Player object (1182),GAME_STARTS,2023-03-09 20:33:33.138161+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3145,4059,4,Player object (1182),PREDICTIONS_SENT,2023-03-09 20:33:39.428223+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 6, ""action"": ""predictions_send"", ""stockUpA"": 3, ""confidenceA"": 3}",50.0,,,v3ju8jv9,vmu7c279,FULL STUDY,165.0
3146,4060,4,Player object (1182),sell,2023-03-09 20:34:12.302900+00:00,"{""priceA"": 140, ""sharesA"": 0, ""secs_since_round_starts"": 39, ""market"": ""A""}",190.0,6.0,1.0,v3ju8jv9,vmu7c279,FULL STUDY,165.0
