,round_number,tick_number,filtered_prob,trade_flag,optimal_trade_count,price
188,5,9,0.47655862888796263,1,18,80
189,5,10,0.4488309348307913,0,18,75
190,5,11,0.4991731929932316,0,18,85
191,5,12,0.5344269279803172,1,18,100
192,5,13,0.4890232705715233,1,18,85
193,5,14,0.45740978964314405,0,18,80
194,5,15,0.505231414156075,1,18,90
195,5,16,0.4686291671454359,1,18,85
196,5,17,0.4433955626702647,0,18,80
197,5,18,0.42621223683237,0,18,70
198,5,19,0.4830991506082083,0,18,80
199,5,20,0.5232479875730728,1,18,95
200,5,21,0.5510362930796925,0,18,105
201,5,22,0.5007328859118227,0,18,90
202,5,23,0.5355078155027276,0,18,95
203,5,24,0.5594334008058068,0,18,105
204,5,25,0.5757035170695836,0,18,115
205,5,26,0.5182690684964619,0,18,105
206,5,27,0.4777068930880888,1,18,100
207,5,28,0.44961945294601313,0,18,85
208,5,29,0.4304345659865384,0,18,80
209,5,30,0.41745268416117176,0,18,70
210,5,31,0.47683442775101537,0,18,85
211,5,32,0.5188715333997952,1,18,95
212,5,33,0.5480287979668599,0,18,110
213,5,34,0.5679672812132522,0,18,120
214,5,35,0.5814696428244381,0,18,125
215,5,36,0.5223936301876935,0,18,110
216,5,37,0.48058860280132665,1,18,95
217,5,38,0.45159992457861875,0,18,80
218,5,39,0.4317803147869401,0,18,70
219,5,40,0.48706980153708146,0,18,80
220,5,41,0.5260161398462472,1,18,95
221,5,42,0.5529358605422235,0,18,100
222,5,43,0.571300234525265,0,18,110
223,5,44,0.515125859635568,0,18,105
224,5,45,0.5454506058480159,0,18,110
225,5,46,0.49678621035633663,1,18,95
226,5,47,0.46277427437973095,0,18,90
227,5,48,0.43939321835069256,0,18,75
228,5,49,0.4924841505562556,0,18,85
229,5,50,0.4597993338202879,0,18,70
230,5,51,0.5069151322589074,1,18,85
231,5,52,0.5397855680881701,0,18,95
232,5,53,0.49279254714042164,1,18,85
233,5,54,0.5299980248683189,1,18,95
234,5,55,0.4859141076178286,1,18,80
235,5,56,0.5252108989343294,1,18,95
236,5,57,0.4825596920859898,1,18,85
237,5,58,0.4529558772574278,0,18,75
238,5,59,0.43270230627299655,0,18,70
239,5,60,0.4189820782479906,0,18,65
