Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6435d8687cd9370aeaa1b6fd,629d16db307da2e64ea7b1e7,REJECTED,2023-04-11T22:00:17.652000Z,2023-04-11T22:00:25.183000Z,2023-04-11T22:49:00.738000Z,2023-04-11T22:00:25.936000Z,8,C1NIKPHE,1746,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6436e529473ffcb5d6908bac,62e023e0f3538d45d41bfaaf,APPROVED,2023-04-12T17:06:59.308000Z,2023-04-12T18:00:03.323000Z,2023-04-12T18:00:06.483000,2023-04-12T18:00:04.059447Z,3185,C14JUVP6,411,English,58,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436e6773e5e5f127d509bba,5a61207cc0d8360001078f07,APPROVED,2023-04-12T17:12:27.435000Z,2023-04-12T17:53:50.415000Z,2023-04-12T17:53:52.520000,2023-04-12T17:53:52.425551Z,2483,C14JUVP6,2848,English,49,Female,White,United States,United States,United States,English,No,Full-Time
6436e6f82cceaf0d6fac59b9,631b593a9bb21bb86ea260a7,APPROVED,2023-04-12T17:14:34.916000Z,2023-04-12T17:44:14.516000Z,2023-04-12T17:44:15.402000,2023-04-12T17:44:15.296985Z,1780,C14JUVP6,652,"English, Spanish",25,Male,White,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
6436e78d10fbc9e9e97c7d5c,5e42e99a423d0b0526ec6592,APPROVED,2023-04-12T17:17:33.945000Z,2023-04-12T18:12:30.131000Z,2023-04-12T18:12:31.965000,2023-04-12T18:12:31.854603Z,3297,C14JUVP6,249,English,43,Female,White,United States,United States,United States,English,No,Full-Time
6436ea17d5d8b8dd700bd70b,60b7bd75af8c92afa748324f,APPROVED,2023-04-12T17:35:37.737000Z,2023-04-12T18:11:24.453000Z,2023-04-12T18:11:25.258000,2023-04-12T18:11:25.160536Z,2147,C14JUVP6,273,English,48,Male,White,Japan,United States,United States,English,No,Full-Time
6436ec085b3fef52108061b9,57c137bf5b8c510001af5981,APPROVED,2023-04-12T17:36:11.884000Z,2023-04-12T18:35:54.318000Z,2023-04-12T18:44:46.014000Z,,3583,C14JUVP6,1078,English,34,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6436ef3ab301ee79f3a02c21,608f2bae0ee0a74455533e4c,APPROVED,2023-04-12T17:49:49.937000Z,2023-04-12T18:36:59.541000Z,2023-04-12T18:37:03.104000,2023-04-12T18:37:03.028464Z,2830,C14JUVP6,2286,English,58,Female,Asian,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436f220d55b1881ee5a217e,5eaae4d434376206a8a74337,APPROVED,2023-04-12T18:02:15.051000Z,2023-04-12T18:37:44.843000Z,2023-04-12T18:37:55.781000Z,2023-04-12T18:37:57.413826Z,2130,C14JUVP6,966,English,58,Male,White,United States,United States,United States,English,No,Part-Time
6436f4423b719a63d21b3a12,5e4db97c679288216771f059,APPROVED,2023-04-12T18:11:52.455000Z,2023-04-12T19:02:08.701000Z,2023-04-12T19:02:11.328000,2023-04-12T19:02:09.600848Z,3017,C14JUVP6,1267,"English, Indonesian",53,Female,Asian,Indonesia,United States,Indonesia,Indonesian,No,Unemployed (and job seeking)
6436f5714749f48d7907912a,5ff17f71b9b6090e4fa1841c,APPROVED,2023-04-12T18:16:45.205000Z,2023-04-12T18:49:00.206000Z,2023-04-12T18:49:01.032000,2023-04-12T18:49:00.919159Z,1936,C14JUVP6,1020,English,22,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6436ffc67a05188ad37f88ca,6154a88b71a7f4347658b0f7,APPROVED,2023-04-12T19:00:22.111000Z,2023-04-12T19:41:58.201000Z,2023-04-12T19:41:59.105000,2023-04-12T19:41:59.010771Z,2497,C14JUVP6,929,"Rather not say, English",20,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
