Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6436c8c614a42e361dd86df7,56bb120a724769000cb7462b,APPROVED,2023-04-12T15:06:53.496000Z,2023-04-12T15:52:00.908000Z,2023-04-12T15:52:01.623000,2023-04-12T15:52:01.498612Z,2708,C14JUVP6,171,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6436c8ca0c0b2d16bd4326d9,5b4915add4c93b00019beed6,APPROVED,2023-04-12T15:09:47.609000Z,2023-04-12T15:47:20.038000Z,2023-04-12T15:47:22.655000,2023-04-12T15:47:22.539555Z,2253,C14JUVP6,503,English,35,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6436c8cceb761f498ce05f0f,60ce6af707bcd42cbc885210,APPROVED,2023-04-12T15:09:01.801000Z,2023-04-12T15:47:16.799000Z,2023-04-12T15:47:18.931000,2023-04-12T15:47:18.810312Z,2295,C14JUVP6,726,"English, Welsh",67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c8ceee253c37869d93d5,622a29743b7c0ca5eee56e24,APPROVED,2023-04-12T15:10:15.998000Z,2023-04-12T15:49:29.359000Z,2023-04-12T15:49:30.944000,2023-04-12T15:49:30.836777Z,2354,C14JUVP6,523,English,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6436c8cfa1c3a88fbd590cf5,5dc0d311e5dc4108137d7c10,APPROVED,2023-04-12T15:07:57.591000Z,2023-04-12T15:45:54.199000Z,2023-04-12T15:45:58.292000,2023-04-12T15:45:55.660704Z,2277,C14JUVP6,748,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6436c8d19bf99c3de29a1d93,5df8df8e8d257b65573a2bd2,APPROVED,2023-04-12T15:07:12.975000Z,2023-04-12T15:45:10.475000Z,2023-04-12T15:45:21.162000,2023-04-12T15:45:16.017036Z,2278,C14JUVP6,1018,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c8d5f1679274e95449f6,61113ad836a1f1b60f4c9389,APPROVED,2023-04-12T15:08:03.360000Z,2023-04-12T15:46:32.076000Z,2023-04-12T15:46:32.953000,2023-04-12T15:46:32.837038Z,2309,C14JUVP6,723,English,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6436c8d603139b842b2c218f,64291fd466d5ee1a536c5808,APPROVED,2023-04-12T15:06:47.249000Z,2023-04-12T15:42:18.142000Z,2023-04-12T15:42:19.083000,2023-04-12T15:42:18.958722Z,2131,C14JUVP6,20,English,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c8d96fefc80aeaca6c1f,63e51cc097b0f5edcbf788b9,APPROVED,2023-04-12T15:08:08.988000Z,2023-04-12T16:49:22.587000Z,2023-04-12T16:49:24.092000Z,2023-04-12T16:49:24.654685Z,6074,C14JUVP6,69,"English, Hindi, Nepali",34,Male,Asian,Nepal,United Kingdom,Nepal,Nepali,No,Full-Time
6436c8e22b7e76da6f97fb31,55da1c4669dbc30010b67569,APPROVED,2023-04-12T15:06:10.232000Z,2023-04-12T15:48:41.900000Z,2023-04-12T15:48:42.910000,2023-04-12T15:48:42.809688Z,2552,C14JUVP6,2267,"English, French",33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6436c8e26dcc680f11db33f0,5b86907cf204a500010864d0,APPROVED,2023-04-12T15:09:11.767000Z,2023-04-12T16:00:06.008000Z,2023-04-12T16:00:07.226000,2023-04-12T16:00:06.527695Z,3055,C14JUVP6,86,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6436c8f42db8d0ceb70c53fc,60ca044c7b2e9a4654efeb77,APPROVED,2023-04-12T15:06:33.403000Z,2023-04-12T15:41:58.959000Z,2023-04-12T15:42:04.702000,2023-04-12T15:41:59.553492Z,2126,C14JUVP6,737,"English, Romanian",24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c8f80f8654a7a07903a4,58660808db3e720001e228d9,APPROVED,2023-04-12T15:08:26.396000Z,2023-04-12T15:41:11.553000Z,2023-04-12T15:41:12.373000,2023-04-12T15:41:12.245298Z,1966,C14JUVP6,402,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6436c8f81582495518066eb8,60fd389c3ffb62b4b24e9df6,APPROVED,2023-04-12T15:09:22.210000Z,2023-04-12T15:47:33.127000Z,2023-04-12T15:47:34.347000,2023-04-12T15:47:34.190428Z,2291,C14JUVP6,73,"French, English",20,Female,White,France,United Kingdom,France,French,Yes,Unemployed (and job seeking)
6436c90591dd67ca42059a71,5ae0b4bfeb6040000153bbc8,APPROVED,2023-04-12T15:06:45.149000Z,2023-04-12T15:54:37.593000Z,2023-04-12T15:54:38.329000,2023-04-12T15:54:38.217332Z,2873,C14JUVP6,762,English,72,Male,White,United Kingdom,United Kingdom,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c939541599fec529329d,60b8f2c365ec36a3395896b6,APPROVED,2023-04-12T15:13:22.702000Z,2023-04-12T15:47:12.836000Z,2023-04-12T15:47:13.595000,2023-04-12T15:47:13.481935Z,2031,C14JUVP6,1053,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
