,participant_code,player.inner_name,profit_nongamified,profit_gamified,accuracy_pred_zero_mean,prediction_accuracy_mean,player.knowledge,overconfidence,player.age,player.payoff,player.gender,player.course_financial,player.trading_experience,player.online_trading_experience,player.sr_prefs,player.sr_better_decs,player.sr_better_have_option,player.sr_notifications,player.sr_badges,player.sr_confetti
2120,nx4t7zd5,s3,130.0,185.0,0.5,0.8125,2.0,-0.4666666666666666,25.0,8.0,Female,0.0,1.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",5.0,1.0,2.0
2124,nymxk6oo,s1,155.0,202.5,0.5,0.875,2.0,-0.21666666666666667,64.0,5.0,Male,0.0,0.0,0.0,Design 1,Design 1,Only trade on Design #1,,5.0,3.0
2128,nzjiwcxq,s3,177.5,147.5,0.375,0.875,5.0,0.16666666666666669,22.0,4.0,Male,0.0,0.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",3.0,4.0,3.0
2132,o08io7y0,s2,197.5,160.0,0.5,0.8333333333333334,6.0,0.016666666666666607,44.0,7.0,Male,0.0,0.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
2135,o0ch7wco,s4,165.0,260.0,0.5,0.6666666666666666,5.0,-0.5,38.0,12.0,Male,0.0,1.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
2138,o0efbpxt,s4,142.5,185.0,0.375,0.9375,5.0,-0.08333333333333337,64.0,7.0,Female,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,
2142,o2fjbqep,s2,192.5,162.5,0.5,0.6875,4.0,-0.2666666666666666,39.0,8.0,Female,0.0,1.0,1.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",4.0,,
2146,o3g86c4q,s2,202.5,200.0,0.16666666666666666,0.75,5.0,-0.41666666666666663,61.0,11.0,Female,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
2150,o407ciu9,s3,210.0,205.0,0.25,0.8125,9.0,-0.016666666666666607,61.0,11.0,Male,1.0,1.0,1.0,Design 1,Design 1,Only trade on Design #1,2.0,1.0,1.0
2154,o43gjgob,s4,187.5,185.0,0.5,0.75,3.0,-0.1166666666666667,67.0,5.0,Female,0.0,0.0,0.0,Design 1,Design 2,"Have an option between Design #1 and Design #2,",5.0,,
2157,o60qcpwh,s2,,175.0,0.0,1.0,7.0,-0.30000000000000004,53.0,12.0,Female,1.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
2158,o7f5wtql,s2,207.5,202.5,0.25,0.75,6.0,-0.2333333333333334,57.0,10.0,Female,0.0,1.0,0.0,Design 1,Design 1,Only trade on Design #1,3.0,,
2162,o8ittj09,s1,210.0,,0.5,0.5,7.0,0.033333333333333326,34.0,8.0,Female,0.0,1.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,1.0,3.0
2163,o913zwg8,s2,187.5,190.0,0.25,0.75,6.0,-0.4,57.0,12.0,Male,0.0,1.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",3.0,,
2167,o9fexw9j,s3,167.5,210.0,0.0,0.75,1.0,-0.4,59.0,6.0,Female,0.0,0.0,0.0,Design 1,Design 1,Only trade on Design #1,2.0,1.0,1.0
2171,o9zhl4go,s1,187.5,205.0,0.5,0.75,3.0,-0.45,56.0,9.0,Female,0.0,0.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,1.0,1.0
2175,oa2xi8oh,s2,172.5,192.5,0.375,0.75,1.0,-0.7333333333333334,59.0,10.0,Male,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,
2179,ob2uqetv,s1,207.5,232.5,0.5,0.625,6.0,-0.06666666666666665,57.0,8.0,Male,0.0,1.0,0.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,4.0,2.0
2183,of29rfjf,s2,205.0,252.5,0.25,0.75,3.0,-0.6166666666666667,38.0,11.0,Female,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
2187,og99p3wf,s1,235.0,265.0,0.25,0.5,8.0,-0.19999999999999996,52.0,12.0,Male,1.0,1.0,1.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,1.0,1.0
2189,oglnrnr2,s1,177.5,195.0,0.375,0.75,5.0,-0.33333333333333337,55.0,10.0,Female,0.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,5.0,5.0
2193,oii5trtq,s2,200.0,212.5,0.16666666666666666,0.6666666666666666,2.0,-0.7166666666666666,55.0,11.0,Female,0.0,0.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",3.0,,
2196,ok3swa17,s1,225.0,200.0,0.5,0.6666666666666666,5.0,-0.25,38.0,9.0,Male,0.0,0.0,0.0,Design 1,Design 1,Only trade on Design #1,,3.0,1.0
2199,onhesb9i,s3,162.5,242.5,0.125,0.8333333333333334,7.0,-0.21666666666666667,53.0,11.0,Male,0.0,1.0,0.0,Design 1,Design 2,"Have an option between Design #1 and Design #2,",5.0,1.0,1.0
2203,opt9bsti,s1,225.0,155.0,0.125,0.75,8.0,-0.033333333333333326,27.0,10.0,Male,1.0,1.0,1.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,5.0,4.0
2207,oq3z7twl,s1,120.0,,0.5,0.5,8.0,-0.11666666666666659,59.0,11.0,Female,0.0,1.0,1.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,3.0,3.0
2208,oqajdyhi,s4,207.5,177.5,0.0,0.75,6.0,-0.4,25.0,12.0,Male,0.0,1.0,1.0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",2.0,,
2212,oqtlejqx,s2,220.0,195.0,0.0,1.0,9.0,-0.09999999999999998,50.0,12.0,Male,0.0,1.0,0.0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,
2215,oxruymzn,s1,255.0,,0.5,0.5,3.0,-0.5333333333333334,58.0,10.0,Female,0.0,0.0,0.0,Design 1,Design 1,Only trade on Design #1,,1.0,1.0
